id,university,department,score
6760,KAYSERI UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6453,FIRAT UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6769,KIRIKKALE UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6772,MALATYA TURGUT OZAL UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6773,KUTAHYA SAGLIK BILIMLERI UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6780,KASTAMONU UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6460,IZMIR BAKIRCAY UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6803,MUNZUR UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6804,KOCAELI UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6463,ADIYAMAN UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6475,HARRAN UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6816,KONYA TEKNIK UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6817,AFYON KOCATEPE UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6481,GIRESUN UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6486,GAZIANTEP ISLAM BILIM VE TEKNOLOJI UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6832,KIRSEHIR AHI EVRAN UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6499,HITIT UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6505,IGDIR UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6512,SIIRT UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6530,SINOP UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6533,TOKAT GAZIOSMANPASA UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6541,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6543,SIRNAK UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6550,SULEYMAN DEMIREL UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6557,SIVAS CUMHURIYET UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6571,ONDOKUZ MAYIS UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6575,OSMANIYE KORKUT ATA UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6579,NIGDE OMER HALISDEMIR UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6582,AMASYA UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6586,NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6588,DICLE UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6610,PAMUKKALE UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6620,BILECIK SEYH EDEBALI UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6626,BINGOL UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6629,BITLIS EREN UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6630,BATMAN UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6634,ARTVIN CORUH UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6635,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6642,ARDAHAN UNIVERSITESI,Bilgisayar Muhendisligi,144.00
6931,EGE UNIVERSITESI,Bilgisayar Muhendisligi,120.00
6941,HACETTEPE UNIVERSITESI,Bilgisayar Muhendisligi,120.00
6949,YILDIZ TEKNIK UNIVERSITESI,Bilgisayar Muhendisligi,115.00
6997,BOGAZICI UNIVERSITESI,Bilgisayar Muhendisligi,105.00
6999,ESKISEHIR OSMANGAZI UNIVERSITESI,Bilgisayar Muhendisligi,105.00
7003,SAKARYA UNIVERSITESI,Bilgisayar Muhendisligi,105.00
6559,SAKARYA UNIVERSITESI,Bilisim Sistemleri Muhendisligi,144.00
6640,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Bilisim Sistemleri Muhendisligi,144.00
6024,MUS ALPARSLAN UNIVERSITESI,Bitkisel Uretim ve Teknolojileri,226.37
6214,KONYA GIDA VE TARIM UNIVERSITESI,Bitkisel Uretim ve Teknolojileri,208.27
6414,INONU UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6718,ZONGULDAK BULENT ECEVIT UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6417,ISKENDERUN TEKNIK UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6731,DUZCE UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6781,KASTAMONU UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6791,KARABUK UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6459,IZMIR BAKIRCAY UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6815,AFYON KOCATEPE UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6500,ERCIYES UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6519,SAMSUN UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6525,CUKUROVA UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6540,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6603,PAMUKKALE UNIVERSITESI,Biyomedikal Muhendisligi,144.00
6703,BURSA TEKNIK UNIVERSITESI,Biyomuhendislik,144.00
6725,CANAKKALE ONSEKIZ MART UNIVERSITESI,Biyomuhendislik,144.00
6425,ISTANBUL MEDENIYET UNIVERSITESI,Biyomuhendislik,144.00
5892,IGDIR UNIVERSITESI,Biyosistem Muhendisligi,232.45
6239,TRAKYA UNIVERSITESI,Bosnak Dili ve Edebiyati,195.61
6056,NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,Cagdas Turk Lehceleri ve Edebiyatlari,225.05
6076,KIRKLARELI UNIVERSITESI,Cagdas Turk Lehceleri ve Edebiyatlari,223.44
6081,USAK UNIVERSITESI,Cagdas Turk Lehceleri ve Edebiyatlari,223.23
6111,BARTIN UNIVERSITESI,Cagdas Turk Lehceleri ve Edebiyatlari,220.27
6130,NIGDE OMER HALISDEMIR UNIVERSITESI,Cagdas Turk Lehceleri ve Edebiyatlari,219.37
6143,SIVAS CUMHURIYET UNIVERSITESI,Cagdas Turk Lehceleri ve Edebiyatlari,218.60
6154,KASTAMONU UNIVERSITESI,Cagdas Turk Lehceleri ve Edebiyatlari,217.82
6191,ARDAHAN UNIVERSITESI,Cagdas Turk Lehceleri ve Edebiyatlari,214.32
5931,ORDU UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,230.83
6008,FIRAT UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,227.27
6040,INONU UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,225.66
6053,ATATURK UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,225.12
6074,SIVAS CUMHURIYET UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,223.52
6078,CANKIRI KARATEKIN UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,223.37
6958,DOKUZ EYLUL UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,110.00
6976,BURSA ULUDAG UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,110.00
6993,ISTANBUL UNIVERSITESI,Calisma Ekonomisi ve Endustri Iliskileri,105.00
6655,ATATURK UNIVERSITESI,Cevre Muhendisligi,144.00
6657,BALIKESIR UNIVERSITESI,Cevre Muhendisligi,144.00
6704,BURSA TEKNIK UNIVERSITESI,Cevre Muhendisligi,144.00
6454,FIRAT UNIVERSITESI,Cevre Muhendisligi,144.00
6465,HARRAN UNIVERSITESI,Cevre Muhendisligi,144.00
6835,DOKUZ EYLUL UNIVERSITESI,Cevre Muhendisligi,144.00
6504,ERCIYES UNIVERSITESI,Cevre Muhendisligi,144.00
6524,SAKARYA UNIVERSITESI,Cevre Muhendisligi,144.00
6526,CUKUROVA UNIVERSITESI,Cevre Muhendisligi,144.00
6539,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Cevre Muhendisligi,144.00
6549,SULEYMAN DEMIREL UNIVERSITESI,Cevre Muhendisligi,144.00
6570,ONDOKUZ MAYIS UNIVERSITESI,Cevre Muhendisligi,144.00
6578,NIGDE OMER HALISDEMIR UNIVERSITESI,Cevre Muhendisligi,144.00
6609,PAMUKKALE UNIVERSITESI,Cevre Muhendisligi,144.00
6227,ISTANBUL UNIVERSITESI,Cocuk Gelisimi,200.00
6276,ANKARA UNIVERSITESI,Dilbilimi,168.00
6279,DOKUZ EYLUL UNIVERSITESI,Dilbilimi,168.00
6336,ATATURK UNIVERSITESI,Dis Hekimligi,150.00
6339,EGE UNIVERSITESI,Dis Hekimligi,150.00
6384,ALANYA ALAADDIN KEYKUBAT UNIVERSITESI,Dis Hekimligi,147.00
6385,NIGDE OMER HALISDEMIR UNIVERSITESI,Dis Hekimligi,147.00
6386,ERZINCAN BINALI YILDIRIM UNIVERSITESI,Dis Hekimligi,147.00
6387,USAK UNIVERSITESI,Dis Hekimligi,147.00
6388,CANKIRI KARATEKIN UNIVERSITESI,Dis Hekimligi,147.00
6389,VAN YUZUNCU YIL UNIVERSITESI,Dis Hekimligi,147.00
6390,FIRAT UNIVERSITESI,Dis Hekimligi,147.00
6391,PAMUKKALE UNIVERSITESI,Dis Hekimligi,147.00
6392,ORDU UNIVERSITESI,Dis Hekimligi,147.00
6393,INONU UNIVERSITESI,Dis Hekimligi,147.00
6394,CUKUROVA UNIVERSITESI,Dis Hekimligi,147.00
6395,DOKUZ EYLUL UNIVERSITESI,Dis Hekimligi,147.00
6396,HARRAN UNIVERSITESI,Dis Hekimligi,147.00
6359,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Dis Hekimligi,147.00
6347,BATMAN UNIVERSITESI,Dis Hekimligi,147.00
6348,AYDIN ADNAN MENDERES UNIVERSITESI,Dis Hekimligi,147.00
6349,KAFKAS UNIVERSITESI,Dis Hekimligi,147.00
6350,ZONGULDAK BULENT ECEVIT UNIVERSITESI,Dis Hekimligi,147.00
6351,KARABUK UNIVERSITESI,Dis Hekimligi,147.00
6352,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Dis Hekimligi,147.00
6353,GIRESUN UNIVERSITESI,Dis Hekimligi,147.00
6354,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Dis Hekimligi,147.00
6355,BINGOL UNIVERSITESI,Dis Hekimligi,147.00
6356,BILECIK SEYH EDEBALI UNIVERSITESI,Dis Hekimligi,147.00
6357,KARADENIZ TEKNIK UNIVERSITESI,Dis Hekimligi,147.00
6358,BURSA ULUDAG UNIVERSITESI,Dis Hekimligi,147.00
6360,GAZIANTEP UNIVERSITESI,Dis Hekimligi,147.00
6361,CANAKKALE ONSEKIZ MART UNIVERSITESI,Dis Hekimligi,147.00
6362,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Dis Hekimligi,147.00
6363,AFYONKARAHISAR SAGLIK BILIMLERI UNIVERSITESI,Dis Hekimligi,147.00
6364,KIRIKKALE UNIVERSITESI,Dis Hekimligi,147.00
6365,KARAMANOGLU MEHMETBEY UNIVERSITESI,Dis Hekimligi,147.00
6366,ESKISEHIR OSMANGAZI UNIVERSITESI,Dis Hekimligi,147.00
6367,YOZGAT BOZOK UNIVERSITESI,Dis Hekimligi,147.00
6368,MERSIN UNIVERSITESI,Dis Hekimligi,147.00
6369,TOKAT GAZIOSMANPASA UNIVERSITESI,Dis Hekimligi,147.00
6370,MUGLA SITKI KOCMAN UNIVERSITESI,Dis Hekimligi,147.00
6371,ISTANBUL MEDENIYET UNIVERSITESI,Dis Hekimligi,147.00
6372,NECMETTIN ERBAKAN UNIVERSITESI,Dis Hekimligi,147.00
6373,RECEP TAYYIP ERDOGAN UNIVERSITESI,Dis Hekimligi,147.00
6374,SAGLIK BILIMLERI UNIVERSITESI,Dis Hekimligi,147.00
6375,IZMIR DEMOKRASI UNIVERSITESI,Dis Hekimligi,147.00
6376,TRAKYA UNIVERSITESI,Dis Hekimligi,147.00
6377,SAKARYA UNIVERSITESI,Dis Hekimligi,147.00
6378,KOCAELI UNIVERSITESI,Dis Hekimligi,147.00
6379,KUTAHYA SAGLIK BILIMLERI UNIVERSITESI,Dis Hekimligi,147.00
6380,ADIYAMAN UNIVERSITESI,Dis Hekimligi,147.00
6381,HATAY MUSTAFA KEMAL UNIVERSITESI,Dis Hekimligi,147.00
6382,NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,Dis Hekimligi,147.00
6383,AKSARAY UNIVERSITESI,Dis Hekimligi,147.00
6901,MARMARA UNIVERSITESI,Dis Hekimligi,140.00
6898,GAZI UNIVERSITESI,Dis Hekimligi,140.00
6908,HACETTEPE UNIVERSITESI,Dis Hekimligi,130.00
6940,ERCIYES UNIVERSITESI,Dis Hekimligi,120.00
6932,SELCUK UNIVERSITESI,Dis Hekimligi,120.00
6936,DICLE UNIVERSITESI,Dis Hekimligi,120.00
6930,SULEYMAN DEMIREL UNIVERSITESI,Dis Hekimligi,120.00
6968,SIVAS CUMHURIYET UNIVERSITESI,Dis Hekimligi,110.00
6961,ONDOKUZ MAYIS UNIVERSITESI,Dis Hekimligi,110.00
6974,AKDENIZ UNIVERSITESI,Dis Hekimligi,110.00
6948,ANKARA UNIVERSITESI,Ebelik,115.00
6985,ATATURK UNIVERSITESI,Ebelik,105.00
6337,ATATURK UNIVERSITESI,Egzersiz ve Spor Bilimleri,150.00
6345,ISTANBUL UNIVERSITESI,Egzersiz ve Spor Bilimleri,150.00
6977,BURSA ULUDAG UNIVERSITESI,Ekonometri,110.00
6995,ISTANBUL UNIVERSITESI,Ekonometri,105.00
6190,YAKIN DOGU UNIVERSITESI,Ekonomi,214.53
6664,BANDIRMA ONYEDI EYLUL UNIVERSITESI,Elektrik Muhendisligi,144.00
6767,MANISA CELÂL BAYAR UNIVERSITESI,Elektrik Muhendisligi,144.00
6799,KOCAELI UNIVERSITESI,Elektrik Muhendisligi,144.00
6809,AFYON KOCATEPE UNIVERSITESI,Elektrik Muhendisligi,144.00
6906,YILDIZ TEKNIK UNIVERSITESI,Elektrik Muhendisligi,135.00
6654,ATATURK UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6722,YOZGAT BOZOK UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6627,BINGOL UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6668,BARTIN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6621,BILECIK SEYH EDEBALI UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6768,KIRIKKALE UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6677,YALOVA UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6686,USAK UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6680,VAN YUZUNCU YIL UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6548,SULEYMAN DEMIREL UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6493,ERCIYES UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6763,KAYSERI UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6442,ERZINCAN BINALI YILDIRIM UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6411,KAFKAS UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6705,BURSA TEKNIK UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6646,BALIKESIR UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6712,BURSA ULUDAG UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6511,SIIRT UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6726,CANAKKALE ONSEKIZ MART UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6819,KONYA TEKNIK UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6421,ERZURUM TEKNIK UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6846,KILIS 7 ARALIK UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6427,ISTANBUL MEDENIYET UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6831,AKSARAY UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6736,KIRKLARELI UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6748,MALATYA TURGUT OZAL UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6826,KIRSEHIR AHI EVRAN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6756,KARAMANOGLU MEHMETBEY UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6444,ISKENDERUN TEKNIK UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6523,SAKARYA UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6455,ADIYAMAN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6480,GIRESUN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6457,HARRAN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6458,IZMIR BAKIRCAY UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6485,GAZIANTEP ISLAM BILIM VE TEKNOLOJI UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6814,NECMETTIN ERBAKAN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6690,CANKIRI KARATEKIN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6802,MUNZUR UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6633,ARTVIN CORUH UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6487,GUMUSHANE UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6489,ISPARTA UYGULAMALI BILIMLER UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6495,HITIT UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6782,KASTAMONU UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6581,AMASYA UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6645,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6506,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6400,FIRAT UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6538,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6518,SAMSUN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6556,SIVAS CUMHURIYET UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6562,DICLE UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6577,NIGDE OMER HALISDEMIR UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6643,BATMAN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6585,NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6589,OSMANIYE KORKUT ATA UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6598,RECEP TAYYIP ERDOGAN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6608,PAMUKKALE UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6613,TOKAT GAZIOSMANPASA UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6737,KUTAHYA DUMLUPINAR UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6665,BANDIRMA ONYEDI EYLUL UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6631,BITLIS EREN UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6636,BOLU ABANT IZZET BAYSAL UNIVERSITESI,Elektrik-Elektronik Muhendisligi,144.00
6956,DUZCE UNIVERSITESI,Elektrik-Elektronik Muhendisligi,110.00
6207,KAFKAS UNIVERSITESI,Elektronik Ticaret ve Yonetimi,211.62
6730,KARADENIZ TEKNIK UNIVERSITESI,Elektronik ve Haberlesme Muhendisligi,144.00
6953,YILDIZ TEKNIK UNIVERSITESI,Elektronik ve Haberlesme Muhendisligi,115.00
6527,CUKUROVA UNIVERSITESI,Endustri Muhendisligi,144.00
