id,university,department,score
930,DOKUZ EYLUL UNIVERSITESI,Amerikan Kulturu ve Edebiyati,429.82
998,HALIC UNIVERSITESI,Amerikan Kulturu ve Edebiyati,426.10
3170,ATATURK UNIVERSITESI,Amerikan Kulturu ve Edebiyati,334.82
3529,GIRNE AMERIKAN UNIVERSITESI,Amerikan Kulturu ve Edebiyati,322.32
4538,USAK UNIVERSITESI,Antrenorluk Egitimi,283.70
5200,IGDIR UNIVERSITESI,Antrenorluk Egitimi,258.20
2876,YEDITEPE UNIVERSITESI,Antropoloji,346.29
4065,HACETTEPE UNIVERSITESI,Antropoloji,303.22
4106,ISTANBUL UNIVERSITESI,Antropoloji,301.60
4190,ANKARA UNIVERSITESI,Antropoloji,298.49
4308,MARDIN ARTUKLU UNIVERSITESI,Antropoloji,293.43
4548,VAN YUZUNCU YIL UNIVERSITESI,Antropoloji,283.36
5488,HATAY MUSTAFA KEMAL UNIVERSITESI,Antropoloji,247.97
5813,BURDUR MEHMET AKIF ERSOY UNIVERSITESI,Antropoloji,235.58
5949,KIRSEHIR AHI EVRAN UNIVERSITESI,Antropoloji,230.07
6048,HITIT UNIVERSITESI,Antropoloji,225.29
1205,ANKARA UNIVERSITESI,Arap Dili ve Edebiyati,413.56
1839,ISTANBUL UNIVERSITESI,Arap Dili ve Edebiyati,383.33
4014,HARRAN UNIVERSITESI,Arap Dili ve Edebiyati,305.36
4508,SELCUK UNIVERSITESI,Arap Dili ve Edebiyati,285.09
4635,MARDIN ARTUKLU UNIVERSITESI,Arap Dili ve Edebiyati,280.29
5258,ATATURK UNIVERSITESI,Arap Dili ve Edebiyati,255.72
5407,BINGOL UNIVERSITESI,Arap Dili ve Edebiyati,250.89
5857,BITLIS EREN UNIVERSITESI,Arap Dili ve Edebiyati,233.63
5899,KAFKAS UNIVERSITESI,Arap Dili ve Edebiyati,232.22
6041,KILIS 7 ARALIK UNIVERSITESI,Arap Dili ve Edebiyati,225.65
967,ISTANBUL 29 MAYIS UNIVERSITESI,Arapca Mutercim ve Tercumanlik,427.83
1324,ISTANBUL UNIVERSITESI,Arapca Mutercim ve Tercumanlik,406.36
1608,ISTANBUL AYDIN UNIVERSITESI,Arapca Mutercim ve Tercumanlik,393.20
2703,KTO KARATAY UNIVERSITESI,Arapca Mutercim ve Tercumanlik,351.97
3051,ANKARA HACI BAYRAM VELI UNIVERSITESI,Arapca Mutercim ve Tercumanlik,339.36
3398,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Arapca Mutercim ve Tercumanlik,326.91
4372,GAZIANTEP ISLAM BILIM VE TEKNOLOJI UNIVERSITESI,Arapca Mutercim ve Tercumanlik,291.07
4393,ONDOKUZ MAYIS UNIVERSITESI,Arapca Mutercim ve Tercumanlik,290.25
4566,SELCUK UNIVERSITESI,Arapca Mutercim ve Tercumanlik,282.63
4880,KIRIKKALE UNIVERSITESI,Arapca Mutercim ve Tercumanlik,270.69
5616,KARAMANOGLU MEHMETBEY UNIVERSITESI,Arapca Mutercim ve Tercumanlik,243.15
5928,BINGOL UNIVERSITESI,Arapca Mutercim ve Tercumanlik,230.97
717,FATIH SULTAN MEHMET VAKIF UNIVERSITESI,Arapca Ogretmenligi,444.00
1306,ISTANBUL SABAHATTIN ZAIM UNIVERSITESI,Arapca Ogretmenligi,407.86
1531,ISTANBUL 29 MAYIS UNIVERSITESI,Arapca Ogretmenligi,396.37
1715,ISTANBUL AYDIN UNIVERSITESI,Arapca Ogretmenligi,388.09
2296,GAZI UNIVERSITESI,Arapca Ogretmenligi,365.10
3028,NECMETTIN ERBAKAN UNIVERSITESI,Arapca Ogretmenligi,340.18
3508,ADIYAMAN UNIVERSITESI,Arapca Ogretmenligi,323.02
4079,SULEYMAN DEMIREL UNIVERSITESI,Arapca Ogretmenligi,302.83
773,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Arkeoloji,439.97
3151,ANKARA UNIVERSITESI,Arkeoloji,335.57
3703,MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,Arkeoloji,316.61
3789,HACETTEPE UNIVERSITESI,Arkeoloji,313.35
4527,CUKUROVA UNIVERSITESI,Arkeoloji,284.54
4561,GAZIANTEP UNIVERSITESI,Arkeoloji,282.75
4597,HARRAN UNIVERSITESI,Arkeoloji,281.53
4650,AKDENIZ UNIVERSITESI,Arkeoloji,279.54
4666,ANADOLU UNIVERSITESI,Arkeoloji,278.91
4727,ANKARA HACI BAYRAM VELI UNIVERSITESI,Arkeoloji,276.51
4770,DOKUZ EYLUL UNIVERSITESI,Arkeoloji,274.82
4934,KOCAELI UNIVERSITESI,Arkeoloji,268.63
5009,BURSA ULUDAG UNIVERSITESI,Arkeoloji,266.29
5022,DICLE UNIVERSITESI,Arkeoloji,265.81
5138,IZMIR DEMOKRASI UNIVERSITESI,Arkeoloji,260.35
5299,MARDIN ARTUKLU UNIVERSITESI,Arkeoloji,254.27
5313,MERSIN UNIVERSITESI,Arkeoloji,253.69
5335,KARADENIZ TEKNIK UNIVERSITESI,Arkeoloji,252.73
5354,CANAKKALE ONSEKIZ MART UNIVERSITESI,Arkeoloji,252.05
5361,PAMUKKALE UNIVERSITESI,Arkeoloji,251.79
5365,MUGLA SITKI KOCMAN UNIVERSITESI,Arkeoloji,251.67
5369,TEKIRDAG NAMIK KEMAL UNIVERSITESI,Arkeoloji,251.47
5535,MANISA CELÂL BAYAR UNIVERSITESI,Arkeoloji,246.18
5536,AYDIN ADNAN MENDERES UNIVERSITESI,Arkeoloji,246.16
5564,ONDOKUZ MAYIS UNIVERSITESI,Arkeoloji,245.18
5644,TRAKYA UNIVERSITESI,Arkeoloji,242.02
5689,ADIYAMAN UNIVERSITESI,Arkeoloji,240.20
5724,VAN YUZUNCU YIL UNIVERSITESI,Arkeoloji,239.19
5727,DUZCE UNIVERSITESI,Arkeoloji,239.11
5733,KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,Arkeoloji,238.93
5734,SELCUK UNIVERSITESI,Arkeoloji,238.92
5735,OSMANIYE KORKUT ATA UNIVERSITESI,Arkeoloji,238.92
5749,KUTAHYA DUMLUPINAR UNIVERSITESI,Arkeoloji,238.24
5775,SULEYMAN DEMIREL UNIVERSITESI,Arkeoloji,236.90
5874,HATAY MUSTAFA KEMAL UNIVERSITESI,Arkeoloji,233.03
5983,ATATURK UNIVERSITESI,Arkeoloji,228.45
